movie_id,title,director,release_date,duration
54,JJ+E,Alexis Almström,9/8/2021,91
55,Show Dogs,Raja Gosnell,9/8/2021,90
56,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,9/7/2021,97
57,Untold: Breaking Point,"Chapman Way, Maclain Way",9/7/2021,80
58,Shadow Parties,Yemi Amodu,9/6/2021,117
59,Angamaly Diaries,Lijo Jose Pellissery,9/5/2021,128
60,A Champion Heart,David de Vos,9/4/2021,90
61,Worth,Sara Colangelo,9/3/2021,119
62,Afterlife of the Party,Stephen Herek,9/2/2021,110
63,Anjaam,Rahul Rawail,9/2/2021,143
64,Bright Star,Jane Campion,9/2/2021,119
65,Dhanak,Nagesh Kukunoor,9/2/2021,114
66,Final Account,Luke Holland,9/2/2021,94
67,Gurgaon,Shanker Raman,9/2/2021,106
68,Here and There,JP Habac,9/2/2021,99
69,In the Cut,Jane Campion,9/2/2021,118
70,Shikara,Vidhu Vinod Chopra,9/2/2021,115
71,A Cinderella Story,Mark Rosman,9/1/2021,95
72,Agatha Christie's Crooked House,Gilles Paquet-Brenner,9/1/2021,115
73,An Unfinished Life,Lasse Hallström,9/1/2021,108
74,Barbie Big City Big Dreams,Scott Pleydell-Pearce,9/1/2021,63
75,Blade Runner: The Final Cut,Ridley Scott,9/1/2021,117
76,Chappie,Neill Blomkamp,9/1/2021,121
77,Clear and Present Danger,Phillip Noyce,9/1/2021,142
78,Cliffhanger,Renny Harlin,9/1/2021,113
79,Cold Mountain,Anthony Minghella,9/1/2021,154
80,Crocodile Dundee in Los Angeles,Simon Wincer,9/1/2021,95
81,Dear John,Lasse Hallström,9/1/2021,108
82,Do the Right Thing,Spike Lee,9/1/2021,120
83,"El patrón, radiografía de un crimen",Sebastián Schindel,9/1/2021,100
84,Extraction,Steven C. Miller,9/1/2021,82
85,Freedom Writers,Richard LaGravenese,9/1/2021,124
86,Green Lantern,Martin Campbell,9/1/2021,114
87,House Party,Reginald Hudlin,9/1/2021,104
88,House Party 2,"George Jackson, Doug McHenry",9/1/2021,94
89,House Party 3,Eric Meza,9/1/2021,94
90,I Got the Hook Up,Michael Martin,9/1/2021,93
91,In Too Deep,Michael Rymer,9/1/2021,97
92,Initial D,"Andrew Lau Wai-keung, Alan Mak",9/1/2021,109
93,Janoskians: Untold and Untrue,Brett Weiner,9/1/2021,88
94,Labyrinth,Jim Henson,9/1/2021,101
95,Letters to Juliet,Gary Winick,9/1/2021,105
96,Level 16,Danishka Esterhazy,9/1/2021,102
97,Love Don't Cost a Thing,Troy Byer,9/1/2021,101
98,Love in a Puff,Pang Ho-cheung,9/1/2021,103
99,Mars Attacks!,Tim Burton,9/1/2021,106
100,Marshall,Reginald Hudlin,9/1/2021,118
101,My Boss's Daughter,David Zucker,9/1/2021,86
102,Mystery Men,Kinka Usher,9/1/2021,121
103,Once Upon a Time in America,Sergio Leone,9/1/2021,229
104,Open Season 2,"Matthew O'Callaghan, Todd Wilderman",9/1/2021,76
105,Osmosis Jones,"Bobby Farrelly, Peter Farrelly",9/1/2021,95
106,Poseidon,Wolfgang Petersen,9/1/2021,98
107,Rhyme & Reason,Peter Spirer,9/1/2021,89
108,Same Kind of Different as Me,Michael Carney,9/1/2021,120
109,School of Rock,Richard Linklater,9/1/2021,110
110,Snervous Tyler Oakley,Amy Rice,9/1/2021,83
111,Tears of the Sun,Antoine Fuqua,9/1/2021,121
112,The Blue Lagoon,Randal Kleiser,9/1/2021,105
113,The Golden Child,Michael Ritchie,9/1/2021,94
114,The Guns of Navarone,J. Lee Thompson,9/1/2021,156
115,The Interview,"Evan Goldberg, Seth Rogen",9/1/2021,112
116,The Nutty Professor,Tom Shadyac,9/1/2021,95
117,The Nutty Professor II: The Klumps,Peter Segal,9/1/2021,107
118,Welcome Home Roscoe Jenkins,Malcolm D. Lee,9/1/2021,114
119,In the Line of Fire,Wolfgang Petersen,8/31/2021,129
120,Untold: Crime & Penalties,"Chapman Way, Maclain Way",8/31/2021,86
121,2 Alone in Paris,"Ramzy Bedia, Éric Judor",8/28/2021,97
122,Thimmarusu,Sharan Koppisetty,8/28/2021,125
123,Wind River,Taylor Sheridan,8/28/2021,107
124,C Kkompany,Sachin Yardi,8/27/2021,127
125,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,8/27/2021,128
126,He's All That,Mark Waters,8/27/2021,92
127,Koi Aap Sa,Partho Mitra,8/27/2021,135
128,Krishna Cottage,Santram Varma,8/27/2021,124
129,Kucch To Hai,"Anil V. Kumar, Anurag Basu",8/27/2021,136
130,Kyaa Kool Hai Hum,Sangeeth Sivan,8/27/2021,165
131,Kyaa Kool Hain Hum 3,Umesh Ghadge,8/27/2021,124
132,Kyaa Super Kool Hain Hum,Sachin Yardi,8/27/2021,136
133,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,8/27/2021,150
134,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,8/27/2021,112
135,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,8/27/2021,119
136,Once Upon a Time in Mumbaai,Milan Luthria,8/27/2021,133
137,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,8/27/2021,142
138,Ragini MMS,Pawan Kripalani,8/27/2021,93
139,Ragini MMS 2,Bhushan Patel,8/27/2021,113
140,SAS: Rise of the Black Swan,Magnus Martens,8/27/2021,124
141,Shootout at Lokhandwala,Apoorva Lakhia,8/27/2021,116
142,Shor In the City,"Raj Nidimoru, Krishna D.K.",8/27/2021,106
143,The Dirty Picture,Milan Luthria,8/27/2021,145
144,"Bob Ross: Happy Accidents, Betrayal & Greed",Joshua Rofé,8/25/2021,93
145,Really Love,Angel Kristi Williams,8/25/2021,95
146,The November Man,Roger Donaldson,8/25/2021,108
147,The Old Ways,Christopher Alender,8/25/2021,90
148,The River Runner,Rush Sturges,8/25/2021,86
149,The Water Man,David Oyelowo,8/25/2021,92
150,Count Me In,Mark Lo,8/24/2021,82
151,Untold: Caitlyn Jenner,Crystal Moselle,8/24/2021,70
152,Boomika,Rathindran R Prasad,8/23/2021,122
153,Boomika (Hindi),Rathindran R Prasad,8/23/2021,122
154,Boomika (Malayalam),Rathindran R Prasad,8/23/2021,122
155,Boomika (Telugu),Rathindran R Prasad,8/23/2021,122
156,The Witcher: Nightmare of the Wolf,Han Kwang Il,8/23/2021,84
157,Gunshot,Karim El Shenawy,8/20/2021,96
158,Man in Love,Yin Chen-hao,8/20/2021,115
159,Sweet Girl,Brian Andrew Mendoza,8/20/2021,110
160,The Loud House Movie,Dave Needham,8/20/2021,88
161,A Faraway Land,Veronica Velasco,8/19/2021,102
162,Like Crazy,Drake Doremus,8/19/2021,91
163,Black Island,Miguel Alexandre,8/18/2021,105
164,Bombay,Mani Ratnam,8/18/2021,135
165,Memories of a Murderer: The Nilsen Tapes,Michael Harte,8/18/2021,86
166,Nneka The Pretty Serpent,Tosin Igho,8/18/2021,140
167,O Kadhal Kanmani,Mani Ratnam,8/18/2021,133
168,Out of my league,Alice Filippi,8/18/2021,92
169,Pahuna,Paakhi Tyrewala,8/18/2021,82
170,The Secret Diary of an Exchange Student,Bruno Garotti,8/18/2021,97
171,Untold: Deal With the Devil,Laura Brownson,8/18/2021,78
172,Walk of Shame,Steve Brill,8/16/2021,94
173,The Piano,Jane Campion,8/15/2021,121
174,Unroyal,Moses Inwang,8/15/2021,97
175,Beckett,Ferdinando Cito Filomarino,8/13/2021,110
176,Lokillo: Nothing's the Same,Julián Gaviria,8/12/2021,64
177,Monster Hunter: Legends of the Guild,Steven Yamamoto,8/12/2021,59
178,Brother Jekwu,Charles Uwagbai,8/11/2021,101
179,La diosa del asfalto,Julián Hernández,8/11/2021,127
180,Misha and the Wolves,Sam Hobkinson,8/11/2021,90
181,The Kissing Booth 3,Vince Marcello,8/11/2021,114
182,The Railway Man,Jonathan Teplitzky,8/11/2021,108
183,Untold: Malice at the Palace,Floyd Russ,8/10/2021,70
184,Quartet,Dustin Hoffman,8/8/2021,98
185,Slay,Adze Ugah,8/8/2021,86
186,Takizawa Kabuki ZERO 2020 The Movie,Hideaki Takizawa,8/7/2021,139
187,The Paper Tigers,Quoc Bao Tran,8/7/2021,111
188,Quam's Money,Kayode Kasum,8/6/2021,115
189,The Swarm,Just Philippot,8/6/2021,102
190,Vivo,"Kirk DeMicco, Brandon Jeffords",8/6/2021,100
191,Chennai Express,Rohit Shetty,8/5/2021,135
192,City of God: 10 Years Later,"Cavi Borges, Luciano Vidigal",8/5/2021,69
193,Esperando la carroza,Alejandro Doria,8/5/2021,95
194,Lady Boss: The Jackie Collins Story,Laura Fairrie,8/5/2021,97
195,Tango Feroz,Marcelo Piñeyro,8/5/2021,124
196,'76,Izu Ojukwu,8/4/2021,118
197,Aftermath,Peter Winther,8/4/2021,115
198,American Masters: Inventing David Geffen,Susan Lacy,8/4/2021,115
199,Heavy,James Mangold,8/3/2021,104
200,Ije: The Journey,Chineze Anyaene,8/3/2021,106
201,Pray Away,Kristine Stolakis,8/3/2021,102
202,Shiny_Flakes: The Teenage Drug Lord,"Eva Müller, Michael Schmitt",8/3/2021,97
203,Beethoven,Brian Levant,8/1/2021,87
204,Beethoven's 2nd,Rod Daniel,8/1/2021,88
205,Beowulf,Robert Zemeckis,8/1/2021,114
206,Boyka: Undisputed,Todor Chapkanov,8/1/2021,90
207,Catch Me If You Can,Steven Spielberg,8/1/2021,142
208,Cloudy with a Chance of Meatballs,"Phil Lord, Christopher Miller",8/1/2021,90
209,Deep Blue Sea,Renny Harlin,8/1/2021,105
210,Ferris Bueller's Day Off,John Hughes,8/1/2021,103
211,Five Feet Apart,Justin Baldoni,8/1/2021,116
212,Freedomland,Joe Roth,8/1/2021,113
213,Good Luck Chuck,Mark Helfrich,8/1/2021,99
214,I missed you: Director's Cut,"Mag Hsu, Hsu Chih-yen",8/1/2021,96
215,Inception,Christopher Nolan,8/1/2021,148
216,Magnolia,Paul Thomas Anderson,8/1/2021,189
217,Major Payne,Nick Castle,8/1/2021,97
218,My Girl,Howard Zieff,8/1/2021,102
219,My Girl 2,Howard Zieff,8/1/2021,99
220,Open Season: Scared Silly,David Feiss,8/1/2021,85
221,Pineapple Express,David Gordon Green,8/1/2021,112
222,Planet 51,Jorge Blanco,8/1/2021,91
223,Poms,Zara Hayes,8/1/2021,91
224,Seabiscuit,Gary Ross,8/1/2021,141
225,Space Cowboys,Clint Eastwood,8/1/2021,130
226,Team America: World Police,Trey Parker,8/1/2021,98
227,The Edge of Seventeen,Kelly Fremon Craig,8/1/2021,105
228,The Haunting in Connecticut 2: Ghosts of Georgia,Tom Elkins,8/1/2021,101
229,The Last Boy Scout,Tony Scott,8/1/2021,105
230,The Lincoln Lawyer,Brad Furman,8/1/2021,118
231,The Losers,Sylvain White,8/1/2021,97
232,The Machinist,Brad Anderson,8/1/2021,102
233,The Net,Irwin Winkler,8/1/2021,114
234,The Original Kings of Comedy,Spike Lee,8/1/2021,111
235,Valentine's Day,Garry Marshall,8/1/2021,125
236,The Lost Café,Kenneth Gyang,7/31/2021,76
237,The Vault,Jaume Balagueró,7/31/2021,118
238,Eyes of a Thief,Najwa Najjar,7/30/2021,103
239,I'm Glad I Did,Selçuk Metin,7/30/2021,114
240,Pomegranates and Myrrh,Najwa Najjar,7/30/2021,95
241,Rurouni Kenshin: The Beginning,Keishi Otomo,7/30/2021,138
242,The Last Mercenary,David Charhon,7/30/2021,112
243,Flower Girl,Michelle Bello,7/29/2021,94
244,Resort to Love,Steven Tsuchida,7/29/2021,102
245,Bartkowiak,Daniel Markowicz,7/28/2021,92
246,Fantastic Fungi,Louie Schwartzberg,7/28/2021,81
247,Department,Ram Gopal Varma,7/27/2021,143
248,Hostage House,David Benullo,7/27/2021,86
249,Mimi,Laxman Utekar,7/27/2021,132
250,The Operative,Yuval Adler,7/27/2021,117
251,Django Unchained,Quentin Tarantino,7/24/2021,165
252,A Second Chance:  Rivals!,Clay Glen,7/23/2021,91
253,African America,Muzi Mthembu,7/23/2021,97
254,Bankrolled,Marcos Bucay,7/23/2021,97
255,Blood Red Sky,Peter Thorwarth,7/23/2021,123
256,Kingdom: Ashin of the North,Kim Seong-hun,7/23/2021,94
257,The Last Letter From Your Lover,Augustine Frizzell,7/23/2021,111
258,Chhota Bheem - Dinosaur World,Sidheswar Shukla,7/22/2021,65
259,Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka,7/22/2021,64
260,Chhota Bheem & Ganesh,Rajiv Chilaka,7/22/2021,68
261,Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,7/22/2021,67
262,Chhota Bheem & Krishna: Pataliputra- City of the Dead,Rajiv Chilaka,7/22/2021,66
263,Chhota Bheem And The Broken Amulet,Rajiv Chilaka,7/22/2021,64
264,Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka,7/22/2021,64
265,Chhota Bheem and the Incan Adventure,Rajiv Chilaka,7/22/2021,65
266,Chhota Bheem and The ShiNobi Secret,Rajiv Chilaka,7/22/2021,64
267,Chhota Bheem Aur Hanuman,Rajiv Chilaka,7/22/2021,68
268,Chhota Bheem aur Krishna,Rajiv Chilaka,7/22/2021,68
269,Chhota Bheem aur Krishna vs Zimbara,Rajiv Chilaka,7/22/2021,64
270,Chhota Bheem in African Safari,Binayak Das,7/22/2021,62
271,Chhota Bheem Ka Roosi Romanch,"Arpan Sarkar, Shyamal Chaulia",7/22/2021,63
272,Chhota Bheem: Bheem vs Aliens,Rajiv Chilaka,7/22/2021,69
273,Chhota Bheem: Dholakpur to Kathmandu,Rajiv Chilaka,7/22/2021,70
274,Chhota Bheem: Dus Pe Dus,"Rajiv Chilaka, Owll Mina",7/22/2021,63
275,Chhota Bheem: Journey to Petra,Rajiv Chilaka,7/22/2021,68
276,Chhota Bheem: Master of Shaolin,Rajiv Chilaka,7/22/2021,74
277,Chhota Bheem: The Rise of Kirmada,Rajiv Chilaka,7/22/2021,68
278,Cousins,"Ainsley Gardiner, Briar Grace-Smith",7/22/2021,99
279,Wannabe Courageous,Mahmoud Karim,7/22/2021,90
280,Words Bubble Up Like Soda Pop,Kyohei Ishiguro,7/22/2021,87
281,Sanitation Day,Seyi Babatope,7/21/2021,105
282,Trollhunters: Rise of the Titans,"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco",7/21/2021,106
283,Milkwater,Morgan Ingari,7/20/2021,102
284,The Tambour of Retribution,Abdulaziz Alshlahei,7/19/2021,91
285,Cosmic Sin,Edward Drake,7/17/2021,88
286,2 Weeks in Lagos,Kathryn Fasegha,7/16/2021,107
287,Deep,"Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela",7/16/2021,101
288,Fear Street Part 3: 1666,Leigh Janiak,7/16/2021,114
289,La ley de Herodes,Luis Estrada,7/16/2021,123
290,The Beguiled,Sofia Coppola,7/16/2021,94
291,The Book of Henry,Colin Trevorrow,7/16/2021,105
292,The Twilight Saga: Breaking Dawn: Part 1,Bill Condon,7/16/2021,117
293,The Twilight Saga: Breaking Dawn: Part 2,Bill Condon,7/16/2021,115
294,The Twilight Saga: Eclipse,David Slade,7/16/2021,124
295,The Twilight Saga: New Moon,Chris Weitz,7/16/2021,131
296,Twilight,Catherine Hardwicke,7/16/2021,122
297,A Perfect Fit,Hadrah Daeng Ratu,7/15/2021,113
298,Cheech & Chong's Still Smokin,Tommy Chong,7/15/2021,91
299,Emicida: AmarElo - Live in São Paulo,Fred Ouro Preto,7/15/2021,100
300,Lift Like a Girl,Mayye Zayed,7/15/2021,93
301,My Amanda,Alessandra de Rossi,7/15/2021,90
302,Surf's Up,"Ash Brannon, Chris Buck",7/15/2021,86
303,The Unknown Saint,Alaa Eddine Aljem,7/15/2021,100
304,This Changes Everything,Tom Donahue,7/15/2021,96
305,A Classic Horror Story,"Roberto De Feo, Paolo Strippoli",7/14/2021,95
306,Gunpowder Milkshake,Navot Papushado,7/14/2021,115
307,Private Network: Who Killed Manuel Buendía?,Manuel Alcalá,7/14/2021,100
308,The Guide to the Perfect Family,Ricardo Trogi,7/14/2021,102
309,American Woman,Semi Chellas,7/13/2021,87
310,Day of Destiny,"Akay Mason, Abosi Ogba",7/13/2021,110
311,Born to Play,Viridiana Lieberman,7/12/2021,93
312,American Ultra,Nima Nourizadeh,7/10/2021,96
313,The Stand-Up,Daniel Růžička,7/10/2021,93
314,The Tour,Juraj Šajmovič,7/10/2021,93
315,Fear Street Part 2: 1978,Leigh Janiak,7/9/2021,111
316,Finding Hubby,Femi D. Ogunsanwo,7/9/2021,105
317,How I Became a Superhero,Douglas Attal,7/9/2021,101
318,Lee Su-geun: The Sense Coach,Kim Joo-hyung,7/9/2021,46
319,Lethal Love,Avi Federgreen,7/9/2021,89
320,Ratchet and Clank,"Jericca Cleland, Kevin Munroe",7/9/2021,94
321,Back to Q82,Ahmed Siddiqui,7/8/2021,104
322,Home Again,Hallie Meyers-Shyer,7/8/2021,97
323,Midnight Sun,Scott Speer,7/8/2021,91
324,Rock the Kasbah,Barry Levinson,7/8/2021,106
325,Awon Boyz,Tolulope Itegboje,7/7/2021,38
326,Brick Mansions,Camille Delamarre,7/7/2021,90
327,Clash,Pascal Atuma,7/7/2021,87
328,Major Grom: Plague Doctor,Oleg Trofim,7/7/2021,138
329,Mama Drama,Seyi Babatope,7/7/2021,105
330,Tango With Me,Mahmood Ali-Balogun,7/7/2021,104
331,Therapy,"Anurin Nwunembom, Musing Derrick",7/7/2021,85
332,This Little Love Of Mine,Christine Luby,7/7/2021,92
333,Three Thieves,Udoka Oyeka,7/7/2021,108
334,A Land Imagined,Yeo Siew Hua,7/6/2021,95
335,Har Kisse Ke Hisse: Kaamyaab,Hardik Mehta,7/6/2021,105
336,Rehmataan,"Rajveer Singh Maan, Harpeet Singh",7/6/2021,116
337,Return of the Prodigal Son,Youssef Chahine,7/6/2021,124
338,Rise: Ini Kalilah,"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath",7/6/2021,101
339,Si Doel the Movie 2,Rano Karno,7/6/2021,95
340,Truckbhar Swapna,Pramod Pawar,7/6/2021,128
341,Ujala,Naresh Saigal,7/6/2021,143
342,Fear Street Part 1: 1994,Leigh Janiak,7/2/2021,107
343,Haseen Dillruba,Vinil Mathew,7/2/2021,136
344,Holiday on Mars,Neri Parenti,7/2/2021,94
345,RattleSnake - The Ahanna Story,Ramsey Nouah,7/2/2021,136
346,Snowpiercer,Bong Joon Ho,7/2/2021,126
347,The 8th Night,Kim Tae-hyung,7/2/2021,116
348,Winchester,"Michael Spierig, Peter Spierig",7/2/2021,100
349,6 Bullets,Ernie Barbarash,7/1/2021,115
350,Air Force One,Wolfgang Petersen,7/1/2021,125
351,Audible,Matt Ogens,7/1/2021,39
352,Austin Powers in Goldmember,Jay Roach,7/1/2021,94
353,Austin Powers: International Man of Mystery,Jay Roach,7/1/2021,90
354,Austin Powers: The Spy Who Shagged Me,Jay Roach,7/1/2021,95
355,Boogie Nights,Paul Thomas Anderson,7/1/2021,155
356,Charlie's Angels,McG,7/1/2021,98
357,Congo,Frank Marshall,7/1/2021,108
358,Dennis the Menace,Nick Castle,7/1/2021,96
359,Dreamy Eyes,Victor Vu,7/1/2021,117
360,Dynasty Warriors,Chow Hin Yeung Roy,7/1/2021,118
361,Hampstead,Joel Hopkins,7/1/2021,103
362,Kung Fu Panda,"John Stevenson, Mark Osborne",7/1/2021,94
363,Kung Fu Panda 2,Jennifer Yuh Nelson,7/1/2021,93
364,Life as We Know It,Greg Berlanti,7/1/2021,115
365,Mary Magdalene,Garth Davis,7/1/2021,120
366,Memoirs of a Geisha,Rob Marshall,7/1/2021,145
367,Midnight Run,Martin Brest,7/1/2021,126
368,Mobile Suit Gundam Hathaway,Shuko Murase,7/1/2021,96
369,Mortal Kombat,Paul W.S. Anderson,7/1/2021,101
370,Mother's Day,Garry Marshall,7/1/2021,118
371,No Strings Attached,Ivan Reitman,7/1/2021,109
372,Not Another Teen Movie,Joel Gallen,7/1/2021,89
373,Ophelia,Claire McCarthy,7/1/2021,106
374,Pet Sematary 2,Mary Lambert,7/1/2021,101
375,Red Joan,Trevor Nunn,7/1/2021,101
376,Seven Pounds,Gabriele Muccino,7/1/2021,123
377,She's Out of My League,Jim Field Smith,7/1/2021,106
378,Snow Day,Chris Koch,7/1/2021,89
379,Star Trek,J.J. Abrams,7/1/2021,128
380,Stuart Little,Rob Minkoff,7/1/2021,85
381,Sword of Trust,Lynn Shelton,7/1/2021,89
382,Talladega Nights: The Ballad of Ricky Bobby,Adam McKay,7/1/2021,108
383,The American,Anton Corbijn,7/1/2021,105
384,The Best of Enemies,Robin Bissell,7/1/2021,133
385,The Game,David Fincher,7/1/2021,129
386,The Karate Kid,John G. Avildsen,7/1/2021,127
387,The Karate Kid Part II,John G. Avildsen,7/1/2021,113
388,The Karate Kid Part III,John G. Avildsen,7/1/2021,112
389,The Life of David Gale,Alan Parker,7/1/2021,130
390,The Long Riders,Walter Hill,7/1/2021,100
391,The Queen,Stephen Frears,7/1/2021,103
392,The Strangers,Bryan Bertino,7/1/2021,85
393,The Sum of All Fears,Phil Alden Robinson,7/1/2021,124
394,The Tourist,Florian Henckel von Donnersmarck,7/1/2021,103
395,Underworld,Len Wiseman,7/1/2021,121
396,Underworld: Awakening,"Måns Mårlind, Björn Stein",7/1/2021,89
397,Underworld: Rise of the Lycans,Patrick Tatopoulos,7/1/2021,92
398,Voiceless,Robert O. Peters,7/1/2021,112
399,What Dreams May Come,Vincent Ward,7/1/2021,114
400,Why Do Fools Fall in Love,Gregory Nava,7/1/2021,116
401,Working Title,Mary Harron,7/1/2021,110
402,America: The Motion Picture,Matt Thompson,6/30/2021,98
403,Deranged,Jameel Buari,6/30/2021,98
404,Lying and Stealing,Matt Aselton,6/30/2021,100
405,Mommy Issues,Jose Javier Reyes,6/30/2021,90
406,Prime Time,Jakub Piątek,6/30/2021,92
407,A Way Back Home,B. T Thomas,6/28/2021,82
408,Killing Them Softly,Andrew Dominik,6/28/2021,97
409,Wanted,Nibal Arakji,6/28/2021,90
410,Into the Wind,Sofie Šustková,6/26/2021,76
411,Wonder Boy,Anissa Bonnefont,6/26/2021,83
412,Here Comes the Rain,Bahij Hojeij,6/25/2021,101
413,The Ice Road,Jonathan Hensleigh,6/25/2021,109
414,The Seventh Day,Justin P. Lange,6/24/2021,87
415,Good on Paper,Kimmy Gatewood,6/23/2021,94
416,Murder by the Coast,Tània Balló,6/23/2021,89
417,The House of Flowers: The Movie,Manolo Caro,6/23/2021,88
418,Broken,Anurin Nwunembom,6/22/2021,108
419,O Vendedor de Sonhos,Jayme Monjardim,6/22/2021,96
420,Osuofia in London,Kingsley Ogoro,6/22/2021,84
421,Osuofia in London II,Kingsley Ogoro,6/22/2021,70
422,#Selfie,Cristina Jacob,6/21/2021,125
423,#Selfie 69,Cristina Jacob,6/21/2021,119
424,Love Is a Story,Cristina Jacob,6/21/2021,105
425,Mobile Suit Gundam II: Soldiers of Sorrow,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",6/19/2021,133
426,Mobile Suit Gundam III: Encounters in Space,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",6/19/2021,140
427,Mobile Suit Gundam: Char's Counterattack,Yoshiyuki Tomino,6/19/2021,120
428,A Family,Michihito Fujii,6/18/2021,135
429,Fatherhood,Paul Weitz,6/18/2021,111
430,Jagame Thandhiram,Karthik Subbaraj,6/18/2021,159
431,Kambili: The Whole 30 Yards,Kayode Kasum,6/18/2021,119
432,Mobile Suit Gundam I,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",6/18/2021,139
433,Rurouni Kenshin: The Final,Keishi Otomo,6/18/2021,137
434,Ali & Ratu Ratu Queens,Lucky Kuswandi,6/17/2021,101
435,Aziza,Soudade Kaadan,6/17/2021,13
436,Besieged Bread,Soudade Kaadan,6/17/2021,12
437,Fan Girl,Antoinette Jadaone,6/17/2021,101
